symbol,datetime,open,high,low,close,volume
BNBUSDT,2025-04-18T16:00:00+00:00,593.72000000,595.80000000,593.72000000,595.35000000,10695.40800000
BNBUSDT,2025-04-18T17:00:00+00:00,595.36000000,596.05000000,594.17000000,595.72000000,8733.99000000
BNBUSDT,2025-04-18T18:00:00+00:00,595.72000000,596.08000000,595.03000000,595.03000000,5885.03300000
BNBUSDT,2025-04-18T19:00:00+00:00,595.03000000,595.23000000,591.93000000,592.49000000,6821.91000000
BNBUSDT,2025-04-18T20:00:00+00:00,592.49000000,593.85000000,592.19000000,592.92000000,4603.52200000
BNBUSDT,2025-04-18T21:00:00+00:00,592.91000000,594.64000000,592.91000000,594.39000000,2198.83700000
BNBUSDT,2025-04-18T22:00:00+00:00,594.40000000,594.50000000,593.66000000,593.67000000,2701.56300000
BNBUSDT,2025-04-18T23:00:00+00:00,593.66000000,593.66000000,591.61000000,591.71000000,4271.63900000
BNBUSDT,2025-04-19T00:00:00+00:00,591.70000000,592.40000000,591.31000000,591.86000000,2043.08100000
BNBUSDT,2025-04-19T01:00:00+00:00,591.86000000,592.85000000,591.77000000,592.46000000,2353.77700000
BNBUSDT,2025-04-19T02:00:00+00:00,592.45000000,592.90000000,591.80000000,592.65000000,2705.91300000
BNBUSDT,2025-04-19T03:00:00+00:00,592.65000000,593.39000000,591.33000000,593.35000000,4739.12000000
BNBUSDT,2025-04-19T04:00:00+00:00,593.34000000,594.49000000,592.15000000,593.29000000,4078.54800000
BNBUSDT,2025-04-19T05:00:00+00:00,593.29000000,593.63000000,592.62000000,593.10000000,2520.34900000
BNBUSDT,2025-04-19T06:00:00+00:00,593.11000000,593.26000000,592.10000000,592.70000000,3054.14600000
BNBUSDT,2025-04-19T07:00:00+00:00,592.71000000,593.68000000,591.98000000,593.13000000,4632.93200000
BNBUSDT,2025-04-19T08:00:00+00:00,593.12000000,593.54000000,591.54000000,593.27000000,3638.66800000
BNBUSDT,2025-04-19T09:00:00+00:00,593.27000000,593.27000000,591.61000000,591.70000000,4672.64400000
BNBUSDT,2025-04-19T10:00:00+00:00,591.70000000,591.71000000,589.80000000,590.46000000,4489.00000000
BNBUSDT,2025-04-19T11:00:00+00:00,590.45000000,591.25000000,589.88000000,591.04000000,3974.67000000
BNBUSDT,2025-04-19T12:00:00+00:00,591.04000000,591.39000000,588.21000000,588.44000000,9016.20100000
BNBUSDT,2025-04-19T13:00:00+00:00,588.45000000,589.73000000,588.13000000,589.50000000,4930.11100000
BNBUSDT,2025-04-19T14:00:00+00:00,589.49000000,589.62000000,588.42000000,589.33000000,5008.77600000
BNBUSDT,2025-04-19T15:00:00+00:00,589.34000000,590.97000000,588.97000000,589.41000000,4364.06800000
BNBUSDT,2025-04-19T16:00:00+00:00,589.40000000,590.76000000,587.70000000,588.22000000,8017.36700000
BNBUSDT,2025-04-19T17:00:00+00:00,588.21000000,590.89000000,588.21000000,590.20000000,4439.75100000
BNBUSDT,2025-04-19T18:00:00+00:00,590.20000000,591.00000000,589.95000000,590.66000000,3463.83600000
BNBUSDT,2025-04-19T19:00:00+00:00,590.66000000,591.38000000,590.52000000,591.03000000,2095.21400000
BNBUSDT,2025-04-19T20:00:00+00:00,591.02000000,591.40000000,590.66000000,591.09000000,2030.93800000
BNBUSDT,2025-04-19T21:00:00+00:00,591.10000000,591.90000000,591.09000000,591.64000000,4253.59500000
BNBUSDT,2025-04-19T22:00:00+00:00,591.64000000,593.63000000,591.63000000,592.93000000,3362.32500000
BNBUSDT,2025-04-19T23:00:00+00:00,592.94000000,593.20000000,591.69000000,591.73000000,2723.97300000
BNBUSDT,2025-04-20T00:00:00+00:00,591.74000000,593.73000000,591.73000000,592.99000000,3549.99200000
BNBUSDT,2025-04-20T01:00:00+00:00,592.99000000,593.73000000,592.21000000,592.58000000,4046.09400000
BNBUSDT,2025-04-20T02:00:00+00:00,592.57000000,593.10000000,592.00000000,592.21000000,3314.12300000
BNBUSDT,2025-04-20T03:00:00+00:00,592.20000000,593.26000000,592.15000000,592.60000000,3316.26300000
BNBUSDT,2025-04-20T04:00:00+00:00,592.59000000,594.76000000,592.59000000,594.50000000,5924.89100000
BNBUSDT,2025-04-20T05:00:00+00:00,594.50000000,594.84000000,593.52000000,594.49000000,7372.16600000
BNBUSDT,2025-04-20T06:00:00+00:00,594.49000000,595.00000000,593.05000000,593.30000000,6336.72700000
BNBUSDT,2025-04-20T07:00:00+00:00,593.31000000,594.01000000,591.85000000,593.98000000,9160.20700000
BNBUSDT,2025-04-20T08:00:00+00:00,593.98000000,595.23000000,593.20000000,593.59000000,6896.45500000
BNBUSDT,2025-04-20T09:00:00+00:00,593.59000000,594.50000000,592.18000000,592.48000000,7935.97500000
BNBUSDT,2025-04-20T10:00:00+00:00,592.48000000,593.00000000,589.69000000,590.23000000,10834.87500000
BNBUSDT,2025-04-20T11:00:00+00:00,590.23000000,591.34000000,589.30000000,590.02000000,6590.94300000
BNBUSDT,2025-04-20T12:00:00+00:00,590.01000000,592.36000000,589.49000000,591.34000000,4340.42700000
BNBUSDT,2025-04-20T13:00:00+00:00,591.34000000,591.39000000,589.76000000,589.83000000,4177.44900000
BNBUSDT,2025-04-20T14:00:00+00:00,589.82000000,590.64000000,589.30000000,590.17000000,4941.21500000
BNBUSDT,2025-04-20T15:00:00+00:00,590.17000000,590.17000000,587.82000000,588.20000000,4314.30000000
BNBUSDT,2025-04-20T16:00:00+00:00,588.20000000,589.57000000,587.50000000,589.56000000,3095.52800000
BNBUSDT,2025-04-20T17:00:00+00:00,589.55000000,589.65000000,587.86000000,589.40000000,3243.16400000
BNBUSDT,2025-04-20T18:00:00+00:00,589.39000000,589.45000000,588.13000000,588.99000000,2385.94700000
BNBUSDT,2025-04-20T19:00:00+00:00,588.99000000,590.00000000,588.60000000,589.95000000,1851.11400000
BNBUSDT,2025-04-20T20:00:00+00:00,589.95000000,591.53000000,589.60000000,590.49000000,3663.36500000
BNBUSDT,2025-04-20T21:00:00+00:00,590.50000000,591.60000000,590.15000000,591.28000000,2026.67600000
BNBUSDT,2025-04-20T22:00:00+00:00,591.28000000,591.29000000,589.49000000,589.96000000,2152.39000000
BNBUSDT,2025-04-20T23:00:00+00:00,589.95000000,593.32000000,589.95000000,592.77000000,3873.31200000
BNBUSDT,2025-04-21T00:00:00+00:00,592.77000000,598.60000000,592.53000000,597.71000000,16089.79300000
BNBUSDT,2025-04-21T01:00:00+00:00,597.71000000,601.50000000,597.71000000,600.25000000,12215.63800000
BNBUSDT,2025-04-21T02:00:00+00:00,600.25000000,602.09000000,598.75000000,599.87000000,7613.35100000
BNBUSDT,2025-04-21T03:00:00+00:00,599.87000000,604.06000000,599.28000000,602.25000000,17185.26900000
BNBUSDT,2025-04-21T04:00:00+00:00,602.26000000,604.67000000,602.25000000,603.17000000,6449.91700000
BNBUSDT,2025-04-21T05:00:00+00:00,603.17000000,607.00000000,603.10000000,606.32000000,7480.87800000
BNBUSDT,2025-04-21T06:00:00+00:00,606.32000000,608.52000000,604.77000000,605.22000000,7036.50800000
BNBUSDT,2025-04-21T07:00:00+00:00,605.23000000,605.79000000,603.73000000,604.46000000,4590.17500000
BNBUSDT,2025-04-21T08:00:00+00:00,604.46000000,606.38000000,604.45000000,605.15000000,6658.30000000
BNBUSDT,2025-04-21T09:00:00+00:00,605.16000000,605.61000000,603.53000000,604.30000000,4778.00800000
BNBUSDT,2025-04-21T10:00:00+00:00,604.30000000,604.47000000,602.82000000,603.31000000,4139.50000000
BNBUSDT,2025-04-21T11:00:00+00:00,603.31000000,603.39000000,600.22000000,600.78000000,5691.06000000
BNBUSDT,2025-04-21T12:00:00+00:00,600.79000000,603.42000000,600.55000000,601.29000000,8822.38800000
