symbol,datetime,open,high,low,close,volume
BTCUSDT,2024-04-19T00:00:00+00:00,63470.09000000,63470.09000000,62654.56000000,62711.08000000,1323.61979000
BTCUSDT,2024-04-19T01:00:00+00:00,62711.08000000,62776.00000000,60618.97000000,61022.00000000,6396.68503000
BTCUSDT,2024-04-19T02:00:00+00:00,61021.99000000,61390.00000000,59600.01000000,61359.58000000,7291.88881000
BTCUSDT,2024-04-19T03:00:00+00:00,61359.57000000,62108.34000000,61140.00000000,61785.14000000,3912.27270000
BTCUSDT,2024-04-19T04:00:00+00:00,61785.14000000,62800.07000000,61766.79000000,62439.49000000,3215.61184000
BTCUSDT,2024-04-19T05:00:00+00:00,62439.49000000,62589.12000000,61739.68000000,62073.38000000,2031.09640000
BTCUSDT,2024-04-19T06:00:00+00:00,62073.39000000,64953.85000000,61809.93000000,64624.37000000,6553.23322000
BTCUSDT,2024-04-19T07:00:00+00:00,64624.37000000,65179.00000000,64184.61000000,64547.18000000,4500.56274000
BTCUSDT,2024-04-19T08:00:00+00:00,64547.18000000,65099.00000000,64098.13000000,64639.02000000,3896.99706000
BTCUSDT,2024-04-19T09:00:00+00:00,64639.02000000,64943.87000000,64490.00000000,64775.93000000,1792.41027000
BTCUSDT,2024-04-19T10:00:00+00:00,64775.94000000,65213.31000000,64420.00000000,64777.70000000,2164.72461000
BTCUSDT,2024-04-19T11:00:00+00:00,64777.70000000,65450.00000000,64691.28000000,64870.74000000,2906.41843000
BTCUSDT,2024-04-19T12:00:00+00:00,64870.73000000,65440.57000000,64770.00000000,64965.19000000,2461.03516000
BTCUSDT,2024-04-19T13:00:00+00:00,64965.19000000,65069.07000000,64436.51000000,64903.71000000,3432.55455000
BTCUSDT,2024-04-19T14:00:00+00:00,64903.71000000,64965.78000000,63820.57000000,64452.12000000,2961.86356000
BTCUSDT,2024-04-19T15:00:00+00:00,64452.12000000,64707.70000000,64333.33000000,64437.17000000,1840.23452000
BTCUSDT,2024-04-19T16:00:00+00:00,64437.18000000,64533.29000000,63506.57000000,64005.76000000,2949.63625000
BTCUSDT,2024-04-19T17:00:00+00:00,64005.76000000,64808.54000000,63929.18000000,64627.80000000,1885.21816000
BTCUSDT,2024-04-19T18:00:00+00:00,64627.80000000,64660.86000000,64084.86000000,64202.63000000,1325.32954000
BTCUSDT,2024-04-19T19:00:00+00:00,64202.63000000,64393.96000000,64085.44000000,64325.25000000,1178.19200000
BTCUSDT,2024-04-19T20:00:00+00:00,64325.26000000,64334.84000000,63677.36000000,64044.11000000,1255.08936000
BTCUSDT,2024-04-19T21:00:00+00:00,64044.12000000,64444.91000000,64044.11000000,64398.32000000,730.29656000
BTCUSDT,2024-04-19T22:00:00+00:00,64398.31000000,64494.03000000,64000.01000000,64012.50000000,944.01445000
BTCUSDT,2024-04-19T23:00:00+00:00,64012.49000000,64124.00000000,62953.90000000,63818.01000000,2825.31770000
BTCUSDT,2024-04-20T00:00:00+00:00,63818.01000000,64263.41000000,63418.00000000,63444.51000000,2107.44280000
BTCUSDT,2024-04-20T01:00:00+00:00,63444.51000000,63777.03000000,63090.07000000,63656.00000000,1283.85296000
BTCUSDT,2024-04-20T02:00:00+00:00,63656.00000000,64092.29000000,63530.00000000,63834.02000000,882.54344000
BTCUSDT,2024-04-20T03:00:00+00:00,63834.01000000,64040.67000000,63766.00000000,63956.00000000,634.11376000
BTCUSDT,2024-04-20T04:00:00+00:00,63956.01000000,64268.58000000,63815.53000000,64133.07000000,750.66766000
BTCUSDT,2024-04-20T05:00:00+00:00,64133.08000000,64250.08000000,63987.17000000,64159.00000000,747.69111000
BTCUSDT,2024-04-20T06:00:00+00:00,64159.01000000,64222.22000000,63939.00000000,64046.07000000,618.13595000
BTCUSDT,2024-04-20T07:00:00+00:00,64046.08000000,64159.99000000,63922.36000000,63961.22000000,571.49150000
BTCUSDT,2024-04-20T08:00:00+00:00,63961.22000000,63988.00000000,63661.54000000,63729.45000000,642.52631000
BTCUSDT,2024-04-20T09:00:00+00:00,63729.44000000,63778.32000000,63277.00000000,63615.01000000,1137.53939000
